case,WT_Dice,TC_Dice,ET_Dice
BraTS-GLI-00009-000,0.6808843022154895,0.9389485585076315,0.9083694083694084
BraTS-GLI-00017-001,0.9750595687150337,0.0,0.0
BraTS-GLI-00020-000,0.9641907271074945,0.9822322751735434,0.958028928658985
BraTS-GLI-00052-000,0.9641699470937513,0.967151291655156,0.92193549694918
BraTS-GLI-00053-001,0.9886173575363497,0.9878292867887467,0.9773057110505079
BraTS-GLI-00059-000,0.95829615648593,0.9797033827695384,0.9626147981285739
BraTS-GLI-00081-000,0.9764087628213246,0.9817634624341658,0.9802575107296138
BraTS-GLI-00087-001,0.9796441865370036,0.9870435806831567,0.9685034768889148
BraTS-GLI-00088-000,0.9659555226702841,0.977244253744176,0.9439788389252401
BraTS-GLI-00089-000,0.9378866548828988,0.9825095780881898,0.973134013551636
MEAN,0.9391113186065561,0.8784425669844304,0.859412818325206
